id,diseaseId,symptomKeywords,title,description,recommendedIngredients,cautionIngredients,mealTips,avoidPatterns,suitableFor,warning,videoSearchUrl
diet-diarrhea-1,diarrhea,설사;탈수;복통,설사 수분 보충 참고자료,설사 시 수분과 자극 적은 식사를 기록하는 참고자료입니다.,물;전해질 음료;죽;바나나,기름진 음식;술;카페인;유제품 과다,수분 자주 섭취;자극 적은 음식 선택;증상 시간 기록,기름진 음식 반복;음주;탈수 방치,묽은 변과 수분 섭취를 기록하는 사람,혈변 고열 탈수 증상이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=설사+식이요법+탈수
diet-hemorrhoids-1,hemorrhoids,치질;항문 통증;항문 출혈;변비,치질 변비관리 식습관 참고자료,변비를 줄이고 배변 부담을 낮추는 식습관을 참고할 수 있습니다.,물;채소;과일;통곡물;식이섬유가 풍부한 음식,과도한 술;지나치게 매운 음식;변비를 악화시킬 수 있는 식습관,수분 섭취 기록;식이섬유 천천히 늘리기;배변 시 힘주기 줄이기,오래 참기;과음;매운 음식 반복,항문 불편감과 변비를 함께 기록하는 사람,출혈이 반복되거나 심한 통증 고름 열이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=치질+식이요법
diet-arthritis-1,arthritis,관절 통증;무릎 통증,관절염 균형식 참고자료,관절 부담과 체중 관리를 함께 볼 때 참고할 수 있습니다.,생선;두부;콩류;채소;올리브오일,과도한 음주;당분 많은 간식;고열량 가공식품,균형 잡힌 단백질 섭취;체중 변화 기록;과식 줄이기,고열량 간식 반복;과음;극단적 제한,관절 통증과 체중 변화를 기록하는 사람,관절 열감 붓기 발열이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=관절염+식이요법
diet-back-pain-1,back-pain,허리통증;체중 증가,허리통증 체중관리 식습관 참고자료,허리 부담과 체중 변화를 함께 기록할 때 참고할 수 있습니다.,단백질 식품;채소;물;칼슘 식품,과음;고열량 간식;과식,식사량 기록;수분 섭취 확인;체중 변화 기록,야식 반복;폭식;무리한 제한,허리 통증과 체중 변화를 함께 보는 사람,다리 저림 마비 대소변 이상이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=허리통증+식습관
diet-insomnia-1,insomnia,불면;입면 어려움;낮 피로,불면증 수면관리 식습관 참고자료,수면과 카페인 야식 음주를 함께 기록하는 참고자료입니다.,카페인이 적은 음료;규칙적인 식사;따뜻한 무카페인 음료,늦은 시간 카페인;야식;과도한 음주,오후 카페인 줄이기;저녁 과식 피하기;수면 시간 기록,늦은 커피;음주 후 취침;야식 반복,수면 습관을 기록하는 사람,불면이 오래 지속되거나 우울감이 심하면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=불면증+식습관
diet-anxiety-1,anxiety,불안;두근거림;긴장,불안 카페인 식습관 참고자료,불안과 두근거림이 있을 때 카페인과 식사 패턴을 기록합니다.,물;따뜻한 차;견과류;균형식,과도한 카페인;에너지 음료;과음;공복 지속,카페인 섭취 시간 기록;식사 거르지 않기;수분 섭취 확인,공복에 카페인;에너지 음료 반복;과음,불안과 식습관을 함께 기록하는 사람,극심한 불안 가슴통증 호흡곤란이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=불안+카페인+식습관
diet-rhinitis-1,rhinitis,코막힘;콧물;재채기,비염 생활식습관 참고자료,알레르기와 환경 증상을 기록하며 자극 요인을 확인합니다.,물;따뜻한 차;채소;과일,과음;개인 알레르기 유발 음식;자극적인 음식,수분 섭취;증상 유발 음식 기록;실내 환경 함께 기록,의심 음식 반복 섭취;과음;자극 음식 반복,비염 증상과 생활환경을 기록하는 사람,호흡곤란이 있으면 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=비염+식습관
diet-asthma-1,asthma,숨참;쌕쌕거림;기침,천식 생활식습관 참고자료,호흡 증상과 개인 유발 요인을 함께 기록하는 참고자료입니다.,물;채소;과일;균형식,과식;개인 알레르기 음식;과음,과식 피하기;개인 유발 음식 기록;수분 섭취 확인,알레르기 의심 음식 반복;과식 후 운동;과음,호흡 증상과 식습관을 기록하는 사람,호흡곤란이나 천식 발작이 있으면 즉시 의료기관 상담이 필요합니다.,https://www.youtube.com/results?search_query=천식+식습관
diet-atopic-dermatitis-1,atopic-dermatitis,피부 가려움;발진;피부 건조,아토피 피부염 식습관 기록 참고자료,개인별 유발 요인이 다를 수 있어 음식과 피부 상태를 함께 기록합니다.,물;채소;생선;균형식,개인 유발 음식;과음;자극적인 음식,새 음식과 피부 반응 기록;수분 섭취;보습 습관 함께 기록,근거 없이 여러 음식 제한;과음;자극 음식 반복,피부 상태와 식사 변화를 기록하는 사람,진물 감염 의심 심한 가려움은 피부과 상담이 필요합니다.,https://www.youtube.com/results?search_query=아토피피부염+식습관
diet-gout-arthritis-1,psoriasis,각질;피부 가려움;관절 통증,건선 생활식습관 참고자료,피부 상태와 체중 음주 스트레스를 함께 기록하는 참고자료입니다.,채소;생선;물;통곡물,과음;고열량 가공식품;자극적인 음식,음주량 기록;피부 상태 기록;체중 변화 확인,과음 반복;자극 음식 반복;수면 부족,건선 증상과 생활습관을 기록하는 사람,관절 통증이 동반되면 의료기관 상담을 권장합니다.,https://www.youtube.com/results?search_query=건선+식습관
