id,diseaseId,title,source,type,summary,url,lastReviewed
article-diarrhea-1,diarrhea,설사와 탈수 주의,CDC,웹문서,설사와 탈수 위험 신호를 확인할 때 참고할 수 있는 자료입니다.,https://www.cdc.gov/,2026-06-13
article-gallstones-1,gallstones,담석증 정보,NHS,웹문서,오른쪽 윗배 통증과 담석 상담 전 확인할 수 있는 자료입니다.,https://www.nhs.uk/search/results?q=gallstones,2026-06-13
article-rhinitis-1,rhinitis,알레르기 비염 정보,NHS,웹문서,코막힘과 콧물 반복 시 환경관리 참고자료입니다.,https://www.nhs.uk/search/results?q=allergic+rhinitis,2026-06-13
article-asthma-1,asthma,천식 증상과 관리,CDC,웹문서,숨참과 쌕쌕거림이 있을 때 상담 기준을 확인할 수 있는 자료입니다.,https://www.cdc.gov/asthma/,2026-06-13
article-bronchitis-1,bronchitis,기관지염 건강정보,MedlinePlus,웹문서,기침과 가래가 지속될 때 참고할 수 있는 자료입니다.,https://medlineplus.gov/acutebronchitis.html,2026-06-13
article-chronic-cough-1,chronic-cough,만성기침 원인 확인,NHS,웹문서,기침이 오래갈 때 상담 전 확인할 항목을 정리한 자료입니다.,https://www.nhs.uk/search/results?q=chronic+cough,2026-06-13
article-arthritis-1,arthritis,관절염 환자의 운동과 체중 관리,국가건강정보포털,웹문서,관절 부담을 줄이는 운동과 생활관리 참고자료입니다.,https://health.kdca.go.kr/,2026-06-13
article-back-pain-1,back-pain,허리통증과 경고 신호,MedlinePlus,웹문서,허리통증에서 진료 상담이 필요한 신호를 확인할 수 있습니다.,https://medlineplus.gov/backpain.html,2026-06-13
article-neck-disc-1,neck-disc,목디스크와 팔저림 정보,대학병원 건강정보,웹문서,목 통증과 손저림이 있을 때 참고할 수 있는 자료입니다.,https://www.google.com/search?q=대학병원+목디스크+건강정보,2026-06-13
article-frozen-shoulder-1,frozen-shoulder,오십견과 어깨 운동 범위,대학병원 건강정보,웹문서,어깨 움직임 제한과 진료 상담 기준을 정리한 참고자료입니다.,https://www.google.com/search?q=대학병원+오십견+건강정보,2026-06-13
article-carpal-tunnel-1,carpal-tunnel,손목터널증후군 정보,MedlinePlus,웹문서,손저림과 손목 통증 상담 전 참고할 수 있는 자료입니다.,https://medlineplus.gov/carpaltunnelsyndrome.html,2026-06-13
article-insomnia-1,insomnia,수면 위생과 불면 관리,NHS,웹문서,수면 습관 개선과 상담 기준을 이해하는 데 도움이 되는 자료입니다.,https://www.nhs.uk/search/results?q=insomnia,2026-06-13
article-anxiety-1,anxiety,불안 증상 참고자료,NHS,웹문서,불안과 두근거림을 기록하고 상담 기준을 확인하는 자료입니다.,https://www.nhs.uk/search/results?q=anxiety,2026-06-13
article-depressed-mood-1,depressed-mood,우울감과 도움 요청,WHO,웹문서,기분 저하와 도움 요청 기준을 이해하는 데 참고할 수 있습니다.,https://www.who.int/health-topics/depression,2026-06-13
article-stress-headache-1,stress-headache,긴장성 두통 정보,MedlinePlus,웹문서,스트레스와 두통 양상을 기록할 때 참고할 수 있는 자료입니다.,https://medlineplus.gov/headache.html,2026-06-13
article-atopic-dermatitis-1,atopic-dermatitis,아토피 피부염 관리,NHS,웹문서,가려움과 보습 습관을 점검할 때 참고할 수 있는 자료입니다.,https://www.nhs.uk/search/results?q=atopic+dermatitis,2026-06-13
article-urticaria-1,urticaria,두드러기와 알레르기 주의,CDC,웹문서,두드러기와 응급 알레르기 신호를 확인하는 참고자료입니다.,https://www.cdc.gov/,2026-06-13
article-acne-1,acne,여드름과 피부 자극 관리,대학병원 건강정보,웹문서,피부 자극과 생활습관을 기록할 때 참고할 수 있는 자료입니다.,https://www.google.com/search?q=대학병원+여드름+건강정보,2026-06-13
article-psoriasis-1,psoriasis,건선 건강정보,NHS,웹문서,각질과 피부 증상 악화 요인을 확인할 수 있는 자료입니다.,https://www.nhs.uk/search/results?q=psoriasis,2026-06-13
article-hemorrhoids-1,hemorrhoids,치질과 항문 출혈 참고자료,국가건강정보포털,웹문서,치질과 항문 출혈 증상을 이해하고 상담 전 확인할 항목을 정리한 참고자료입니다.,https://health.kdca.go.kr/,2026-06-14
article-hemorrhoids-2,hemorrhoids,항문질환과 배변 습관,국민건강보험공단,웹문서,변비와 배변 습관이 항문 불편감에 미칠 수 있는 영향을 살펴보는 자료입니다.,https://www.nhis.or.kr/,2026-06-14
article-hemorrhoids-3,hemorrhoidal-disease,치핵 건강정보,대학병원 건강정보,웹문서,치핵 증상과 대장항문외과 상담 기준을 확인할 수 있는 mock 참고자료입니다.,https://www.google.com/search?q=대학병원+치핵+건강정보,2026-06-14
article-anal-fissure-1,anal-fissure,치열과 배변 시 통증,MedlinePlus,웹문서,배변 시 통증과 선홍색 출혈이 있을 때 참고할 수 있는 외부 자료입니다.,https://medlineplus.gov/ency/article/001130.htm,2026-06-14
article-anal-fistula-1,anal-fistula,치루와 항문 주변 분비물,대학병원 건강정보,웹문서,항문 주변 고름이나 분비물이 반복될 때 상담 전 확인할 내용을 정리한 mock 자료입니다.,https://www.google.com/search?q=대학병원+치루+건강정보,2026-06-14
