id,slug,diseaseId,diseaseName,symptom,category,nickname,title,summary,content,hospitalVisited,helpfulFoods,cautionFoods,helpfulExercises,helpfulHabits,helpfulVideos,caution,relatedTags,status,createdAt,updatedAt,isPersonalExperience,agreeToPublic,agreeMedicalDisclaimer
exp-gastritis-1,gastritis-night-meal-control,gastritis,위염,속쓰림,식이요법,속편한하루,야식을 줄이고 속쓰림 기록을 해봤어요,저녁 늦게 먹은 날 속쓰림이 심해지는 패턴이 있었습니다.,식후 3시간 안에는 눕지 않고 증상 시간과 먹은 음식을 기록했습니다.,진료받지 않음,죽;미음,과도한 음주;자극적인 식사,야식 줄이기;식후 바로 눕지 않기,야식 줄이기;식후 바로 눕지 않기,,통증이 반복될 때는 자가 판단하지 않고 진료 예약을 했습니다.,위염;속쓰림;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-reflux-1,reflux-1,reflux,역류성 식도염,신물 역류,식이요법,식후습관,식후 바로 눕지 않으니 신물이 줄어드는 데 참고가 되었습니다,야식 후 누웠을 때 신물 역류가 심했습니다.,식후 산책을 짧게 하고 바로 눕지 않는 습관을 만들었습니다.,진료받지 않음,오트밀;바나나,과도한 음주;자극적인 식사,야식 줄이기;식후 바로 눕지 않기,야식 줄이기;식후 바로 눕지 않기,,가슴 통증이 있으면 반드시 전문 진료가 필요합니다.,역류성 식도염;신물 역류;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-ibs-1,ibs-1,ibs,과민성대장증후군,복부팽만,식이요법,장노트,복부팽만과 식사 메뉴를 같이 기록했습니다,스트레스가 큰 날과 특정 음식 후 불편감이 늘어나는 것 같았습니다.,음식 제한을 단정하지 않고 기록만 모아 상담에 활용했습니다.,진료받지 않음,두부;쌀밥,과도한 음주;자극적인 식사,식사 일지;수면 기록,식사 일지;수면 기록,,혈변이나 체중 감소가 있으면 진료 상담이 필요합니다.,과민성대장증후군;복부팽만;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-constipation-1,constipation-1,constipation,변비,변비,식이요법,물마시기,물 섭취량을 표시해 보았습니다,물을 적게 마신 날 배변이 더 어려웠던 것 같았습니다.,수분과 활동량을 같이 적어보니 생활패턴이 보였습니다.,진료받지 않음,채소;귀리,과도한 음주;자극적인 식사,수분 섭취;가벼운 걷기,수분 섭취;가벼운 걷기,,혈변이나 심한 복통은 진료가 필요합니다.,변비;변비;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-diarrhea-1,diarrhea-1,diarrhea,설사,설사,식이요법,수분체크,묽은 변이 있을 때 수분 섭취를 기록했습니다,어떤 음식을 먹은 뒤 증상이 있었는지 시간순으로 적었습니다.,증상이 지속될 때는 병원 상담을 먼저 생각했습니다.,진료받지 않음,죽;바나나,과도한 음주;자극적인 식사,수분 보충;자극 음식 피하기,수분 보충;자극 음식 피하기,,탈수나 혈변이 있으면 의료기관 상담이 필요합니다.,설사;설사;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-gallstones-1,gallstones-1,gallstones,담석증,오른쪽 윗배 통증,증상기록,담낭메모,기름진 음식 후 통증을 적었습니다,오른쪽 윗배가 아픈 날 식사 내용을 함께 적었습니다.,통증이 반복되어 검사 필요 여부를 상담했습니다.,진료받지 않음,채소;기름기 적은 단백질,과도한 음주;자극적인 식사,과식 피하기;식사 시간 기록,과식 피하기;식사 시간 기록,,발열이나 황달이 있으면 빠른 진료가 필요합니다.,담석증;오른쪽 윗배 통증;증상기록,approved,2026-06-14,2026-06-14,true,true,true
exp-rhinitis-1,rhinitis-1,rhinitis,비염,코막힘,생활습관,코숨기록,먼지가 많은 날 코막힘을 기록했습니다,청소와 환기 후 증상 변화를 적어보았습니다.,알레르기 여부는 진료에서 확인해야 한다고 생각했습니다.,진료받지 않음,따뜻한 차;물,과도한 음주;자극적인 식사,실내 먼지 줄이기;습도 확인,실내 먼지 줄이기;습도 확인,,호흡곤란이 있으면 즉시 도움을 요청해야 합니다.,비염;코막힘;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-asthma-1,asthma-1,asthma,천식,숨참,생활습관,호흡일지,찬 공기에서 숨찬 느낌을 기록했습니다,운동과 날씨를 같이 적으니 상담 때 설명하기 쉬웠습니다.,흡입기 사용 여부는 의료진과 상의했습니다.,진료받지 않음,물;균형식,과도한 음주;자극적인 식사,유발 환경 기록;무리한 운동 피하기,유발 환경 기록;무리한 운동 피하기,,호흡곤란이 심하면 응급 도움을 요청해야 합니다.,천식;숨참;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-bronchitis-1,bronchitis-1,bronchitis,기관지염,기침,생활습관,기침노트,기침과 가래 색을 기록했습니다,기침이 심한 시간대와 수분 섭취를 같이 적었습니다.,오래 지속되면 진료를 받는 것이 필요하다고 느꼈습니다.,진료받지 않음,따뜻한 차;부드러운 음식,과도한 음주;자극적인 식사,수분 섭취;흡연 피하기,수분 섭취;흡연 피하기,,피 섞인 가래나 호흡곤란은 진료가 필요합니다.,기관지염;기침;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-chronic-cough-1,chronic-cough-1,chronic-cough,만성기침,마른기침,생활습관,기침달력,기침이 오래가서 시간대를 표시했습니다,밤에 심한지 식후에 심한지 나누어 적었습니다.,원인은 단정하지 않고 상담 자료로만 사용했습니다.,진료받지 않음,물;따뜻한 차,과도한 음주;자극적인 식사,기침 시간 기록;먼지 피하기,기침 시간 기록;먼지 피하기,,체중 감소나 호흡곤란이 있으면 의료기관 상담을 권장합니다.,만성기침;마른기침;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-arthritis-1,arthritis-1,arthritis,관절염,관절 통증,운동요법,무릎기록,무리한 운동을 줄이고 스트레칭을 했습니다,계단을 많이 오른 날 무릎 통증이 늘었습니다.,무리한 운동을 줄이고 가벼운 스트레칭 위주로 조절했습니다.,진료받지 않음,두부;생선,과도한 음주;자극적인 식사,관절 부담 줄이기;가벼운 스트레칭,관절 부담 줄이기;가벼운 스트레칭,,붓기와 열감이 있으면 진료가 필요합니다.,관절염;관절 통증;운동요법,approved,2026-06-14,2026-06-14,true,true,true
exp-back-pain-1,back-pain-1,back-pain,허리통증,허리 통증,운동요법,허리메모,오래 앉은 날 허리통증을 기록했습니다,앉아 있는 시간과 통증 정도를 같이 적어보았습니다.,자세를 단정하기보다 상담 전 자료로 활용했습니다.,진료받지 않음,단백질 식품;채소,과도한 음주;자극적인 식사,오래 앉기 줄이기;가벼운 걷기,오래 앉기 줄이기;가벼운 걷기,,다리 힘 빠짐이나 대소변 이상은 응급 신호일 수 있습니다.,허리통증;허리 통증;운동요법,approved,2026-06-14,2026-06-14,true,true,true
exp-neck-disc-1,neck-disc-1,neck-disc,목디스크,손저림,운동요법,목어깨기록,손저림이 있을 때 목 통증을 같이 적었습니다,스마트폰을 오래 본 날 저림이 더 느껴지는 것 같았습니다.,목디스크 여부는 진료에서 확인해야 한다고 생각했습니다.,진료받지 않음,생선;채소,과도한 음주;자극적인 식사,자세 쉬기;화면 시간 줄이기,자세 쉬기;화면 시간 줄이기,,팔 힘 빠짐이나 감각 저하는 진료가 필요합니다.,목디스크;손저림;운동요법,approved,2026-06-14,2026-06-14,true,true,true
exp-frozen-shoulder-1,frozen-shoulder-1,frozen-shoulder,오십견,어깨 통증,운동요법,어깨범위,팔이 올라가는 범위를 기록했습니다,밤에 아픈 날과 운동한 날을 나누어 적었습니다.,무리한 스트레칭은 피하고 상담을 준비했습니다.,진료받지 않음,단백질 식품;물,과도한 음주;자극적인 식사,운동 범위 기록;무리한 동작 피하기,운동 범위 기록;무리한 동작 피하기,,외상 후 심한 통증은 진료가 필요합니다.,오십견;어깨 통증;운동요법,approved,2026-06-14,2026-06-14,true,true,true
exp-carpal-tunnel-1,carpal-tunnel-1,carpal-tunnel,손목터널증후군,손목 통증,운동요법,손목쉼표,키보드 사용 시간과 손저림을 적었습니다,밤에 손이 저린 날과 손목 사용량을 같이 기록했습니다.,작업 습관을 조절하는 데 참고가 되었습니다.,진료받지 않음,채소;통곡물,과도한 음주;자극적인 식사,손목 휴식;반복 작업 줄이기,손목 휴식;반복 작업 줄이기,,손 힘 빠짐이 있으면 상담이 필요합니다.,손목터널증후군;손목 통증;운동요법,approved,2026-06-14,2026-06-14,true,true,true
exp-insomnia-1,insomnia-1,insomnia,불면증,불면,생활습관,잠기록,기상 시간을 고정하니 조금 나아지는 데 참고가 되었습니다,잠드는 시간이 들쭉날쭉하고 낮 피로감이 심했습니다.,주말에도 비슷한 시간에 일어나고 오후 카페인을 줄였습니다.,진료받지 않음,무카페인 차;견과류,과도한 음주;자극적인 식사,기상 시간 고정;오후 카페인 줄이기,기상 시간 고정;오후 카페인 줄이기,,불면이 오래 지속되면 수면클리닉 상담이 필요하다고 느꼈습니다.,불면증;불면;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-anxiety-1,anxiety-1,anxiety,불안,불안,생활습관,마음메모,불안한 상황과 두근거림을 같이 적었습니다,회의 전이나 잠이 부족한 날 두근거림을 더 느꼈습니다.,기록은 상담에서 설명하는 데 참고가 되었습니다.,진료받지 않음,따뜻한 차;물,과도한 음주;자극적인 식사,카페인 줄이기;호흡 가다듬기,카페인 줄이기;호흡 가다듬기,,자살 생각이나 극심한 불안은 즉시 도움을 요청해야 합니다.,불안;불안;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-depressed-mood-1,depressed-mood-1,depressed-mood,우울감,우울감,증상기록,기분달력,기분과 수면 시간을 함께 표시했습니다,잠을 적게 잔 날 무기력감이 커지는 것 같았습니다.,혼자 결론내리지 않고 상담을 고려했습니다.,진료받지 않음,균형식;물,과도한 음주;자극적인 식사,수면 기록;주변에 알리기,수면 기록;주변에 알리기,,자살 생각이 있으면 즉시 전문 도움을 요청해야 합니다.,우울감;우울감;증상기록,approved,2026-06-14,2026-06-14,true,true,true
exp-stress-headache-1,stress-headache-1,stress-headache,스트레스성 두통,두통,생활습관,긴장두통노트,업무가 많은 날 두통을 기록했습니다,목과 어깨 긴장이 심한 날 두통이 같이 느껴졌습니다.,두통 양상이 갑자기 달라지는지는 따로 체크했습니다.,진료받지 않음,물;과일,과도한 음주;자극적인 식사,화면 쉬기;수면 기록,화면 쉬기;수면 기록,,갑작스러운 심한 두통은 응급 신호일 수 있습니다.,스트레스성 두통;두통;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-atopic-dermatitis-1,atopic-dermatitis-1,atopic-dermatitis,아토피 피부염,피부 가려움,생활습관,보습기록,보습 시간과 가려움을 같이 적었습니다,건조한 날과 세제 변경 후 피부 반응을 기록했습니다.,유발 요인은 개인마다 다를 수 있다고 생각했습니다.,진료받지 않음,물;채소,과도한 음주;자극적인 식사,보습 기록;자극 옷감 피하기,보습 기록;자극 옷감 피하기,,진물이나 감염 의심은 피부과 상담이 필요합니다.,아토피 피부염;피부 가려움;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-urticaria-1,urticaria-1,urticaria,두드러기,두드러기,생활습관,팽진메모,두드러기가 생긴 시간과 음식을 적었습니다,새 음식이나 약을 먹은 날을 따로 표시했습니다.,호흡곤란 여부를 항상 확인했습니다.,진료받지 않음,물;자극 적은 음식,과도한 음주;자극적인 식사,발생 시간 기록;의심 요인 메모,발생 시간 기록;의심 요인 메모,,입술 부종이나 호흡곤란은 응급 신호일 수 있습니다.,두드러기;두드러기;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-acne-1,acne-1,acne,여드름,여드름,생활습관,피부달력,수면 부족과 피부 변화를 기록했습니다,늦게 잔 날과 새 화장품 사용 후 변화를 표시했습니다.,피부 상태는 개인차가 커서 기록만 참고했습니다.,진료받지 않음,물;채소,과도한 음주;자극적인 식사,수면 기록;자극 제품 줄이기,수면 기록;자극 제품 줄이기,,심한 염증이나 흉터 우려는 피부과 상담이 필요합니다.,여드름;여드름;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-psoriasis-1,psoriasis-1,psoriasis,건선,각질,생활습관,피부상태표,각질과 스트레스를 함께 기록했습니다,피부가 건조한 날과 스트레스가 큰 날을 표시했습니다.,건선 여부와 관절 증상은 진료에서 확인해야 한다고 느꼈습니다.,진료받지 않음,생선;채소,과도한 음주;자극적인 식사,보습 유지;스트레스 기록,보습 유지;스트레스 기록,,관절 통증이 동반되면 의료기관 상담을 권장합니다.,건선;각질;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-hemorrhoids-1,hemorrhoids-fiber-water-habit,hemorrhoids,치질,항문 불편감,식이요법,배변노트,배변 시간과 항문 불편감을 같이 기록했습니다,오래 앉아 있던 날과 변비가 있던 날 불편감이 커지는 것 같았습니다.,수분 섭취와 배변 시간을 기록하니 상담 전 설명에 참고가 되었습니다.,진료받지 않음,물;채소;통곡물,과도한 음주;자극적인 식사,배변 시간 줄이기;오래 앉기 줄이기,배변 시간 줄이기;오래 앉기 줄이기,,출혈이 반복되면 의료기관 상담이 필요하다고 느꼈습니다.,치질;항문 불편감;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-hemorrhoids-2,hemorrhoids-2,hemorrhoids,치질,휴지에 피가 묻음,식이요법,휴지체크,휴지에 피가 묻은 날을 따로 적었습니다,선홍색 피가 보인 날과 배변 시 통증 여부를 함께 기록했습니다.,기록을 보고 대장항문외과 상담을 준비하는 데 참고가 되었습니다.,진료받지 않음,물;과일;부드러운 음식,과도한 음주;자극적인 식사,힘주기 줄이기;식이섬유 챙기기,힘주기 줄이기;식이섬유 챙기기,,피가 많이 나거나 검은 변이 있으면 빠른 상담이 필요합니다.,치질;휴지에 피가 묻음;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-anal-fissure-1,anal-fissure-1,anal-fissure,치열,배변 시 통증,식이요법,통증기록,딱딱한 변이 있던 날 통증을 기록했습니다,수분을 적게 마신 날 배변 시 통증이 더 뚜렷한 것 같았습니다.,개인적인 경험이며 정확한 원인은 진료에서 확인해야 한다고 생각했습니다.,진료받지 않음,물;채소,과도한 음주;자극적인 식사,수분 섭취;변비 기록,수분 섭취;변비 기록,,심한 통증이나 출혈이 반복되면 의료기관 상담을 권장합니다.,치열;배변 시 통증;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-anal-fistula-1,anal-fistula-1,anal-fistula,치루,항문 주변 분비물,식이요법,분비물메모,항문 주변 분비물이 보인 날을 기록했습니다,통증과 열감이 있는지 같이 적고 빠르게 상담 일정을 잡았습니다.,고름이나 분비물은 혼자 판단하지 않는 것이 필요하다고 느꼈습니다.,진료받지 않음,물;부드러운 음식,과도한 음주;자극적인 식사,증상 시간 기록;자극 음식 줄이기,증상 시간 기록;자극 음식 줄이기,,열이나 심한 통증이 동반되면 빠른 진료 상담이 필요합니다.,치루;항문 주변 분비물;식이요법,approved,2026-06-14,2026-06-14,true,true,true
exp-gastritis-2,gastritis-coffee-meal-record,gastritis,위염,속쓰림,생활습관,야식기록,야식을 줄이고 속쓰림을 기록했어요,늦은 시간 식사와 속쓰림 변화를 함께 적어 보았습니다.,저녁 식사가 늦어진 날과 속쓰림이 있던 날을 함께 기록했습니다. 개인적인 경험이며 진료 상담 준비에 참고가 되었습니다.,진료 예정,죽;부드러운 음식,커피;매운 음식;야식,식후 가벼운 걷기,식사 시간 조절;바로 눕지 않기,https://www.youtube.com/results?search_query=위염+생활관리,속쓰림이 지속되면 의료기관 상담을 권장합니다.,위염;속쓰림;야식;생활습관,approved,2026-06-14,2026-06-14,true,true,true
exp-diabetes-2,diabetes-after-meal-walking,diabetes,당뇨,혈당 변화,운동요법,걷기메모,식후 가벼운 걷기를 기록했어요,식후 컨디션과 가벼운 걷기 시간을 함께 적었습니다.,혈당을 진단하거나 해석하기보다 식사와 활동량을 함께 기록했습니다. 이 기록이 진료 상담 전 정리에 참고가 되었습니다.,정기적으로 관리 중,채소;통곡물,단 음료;과자,식후 가벼운 걷기,혈당 변화 기록;식사 시간 유지,https://www.youtube.com/results?search_query=당뇨+운동요법,저혈당 위험이 있으면 의료진 상담이 필요할 수 있습니다.,당뇨;혈당;식후 걷기;운동요법,approved,2026-06-14,2026-06-14,true,true,true
exp-hemorrhoids-3,hemorrhoids-water-fiber-record,hemorrhoids,치질,항문 불편감,식이요법,섬유질기록,물과 식이섬유 섭취를 적어보았어요,변비가 있던 날과 수분 섭취를 함께 기록했습니다.,화장실에 오래 앉아 있는 습관과 물 섭취량을 적어보았습니다. 정확한 진단과 치료는 의료기관 상담이 필요하다고 생각했습니다.,진료 예정,물;채소;과일;통곡물,과도한 술;지나치게 매운 음식,가벼운 걷기;오래 앉아 있는 시간 줄이기,과도하게 힘주지 않기;배변 시간 짧게 유지,https://www.youtube.com/results?search_query=치질+생활관리,출혈이 반복되거나 통증이 심하면 의료기관 상담을 권장합니다.,치질;변비;항문 불편감;식이섬유,approved,2026-06-14,2026-06-14,true,true,true
exp-pending-sample-1,pending-sensitive-review-sample,gastritis,위염,속쓰림,기타,검토대기,검토 대기 자료,관리자 검토를 위한 등록 자료입니다.,향후 관리자 화면에서 민감정보와 의료 표현을 검토할 수 있는 자료입니다.,진료받지 않음,,,,,,화면에 공개되지 않는 검토 대기 상태입니다.,pending;검토대기,pending,2026-06-14,2026-06-14,true,true,true
exp-rejected-sample-1,rejected-expression-review-sample,diabetes,당뇨,혈당,기타,검토완료,표현 검토 자료,거절 상태를 확인하기 위한 검토 자료입니다.,의료 표현 검토 후 공개하지 않는 상태로 남겨두는 자료입니다.,진료받지 않음,,,,,,화면에 공개되지 않는 거절 상태입니다.,rejected;검토완료,rejected,2026-06-14,2026-06-14,true,false,true

