id,diseaseId,title,channel,summary,url,category
video-reflux-1,reflux,역류성 식도염 식후 습관 체크,소화기 건강 예시,식후 눕기와 야식처럼 흔한 유발 요인을 정리합니다.,https://www.youtube.com/results?search_query=역류성+식도염+생활습관,생활관리
video-ibs-1,ibs,과민성대장증후군 식사 일지 쓰기,장건강 샘플,복통과 배변 변화를 식사와 함께 기록하는 방법을 다룹니다.,https://www.youtube.com/results?search_query=과민성대장증후군+식사일지,증상기록
video-constipation-1,constipation,변비와 수분 섬유질 기록,소화기 샘플,변비가 있을 때 생활습관을 점검하는 mock 영상입니다.,https://www.youtube.com/results?search_query=변비+수분+식이섬유,식이요법
video-diarrhea-1,diarrhea,설사와 탈수 주의 신호,소화기 샘플,설사 시 수분 보충과 진료 상담 기준을 정리합니다.,https://www.youtube.com/results?search_query=설사+탈수+주의,응급안내
video-gallstones-1,gallstones,담석증과 오른쪽 윗배 통증,담낭건강 샘플,기름진 음식 후 통증 기록을 안내하는 mock 영상입니다.,https://www.youtube.com/results?search_query=담석증+오른쪽윗배통증,증상기록
video-rhinitis-1,rhinitis,비염 코막힘 환경관리,호흡기 샘플,코막힘과 콧물이 반복될 때 실내환경을 점검하는 방법입니다.,https://www.youtube.com/results?search_query=비염+코막힘+환경관리,생활관리
video-asthma-1,asthma,천식 숨참과 쌕쌕거림 기록,호흡기 샘플,천식 의심 증상과 응급 신호를 정리한 mock 영상입니다.,https://www.youtube.com/results?search_query=천식+숨참+쌕쌕거림,응급안내
video-bronchitis-1,bronchitis,기관지염 기침 가래 관리,호흡기 샘플,기침과 가래가 지속될 때 기록할 내용을 안내합니다.,https://www.youtube.com/results?search_query=기관지염+기침+가래,증상기록
video-chronic-cough-1,chronic-cough,만성기침 원인별 기록법,기침클리닉 샘플,오래가는 기침의 시간대와 유발 요인을 기록하는 방법입니다.,https://www.youtube.com/results?search_query=만성기침+원인+기록,증상기록
video-arthritis-1,arthritis,관절 통증이 있을 때 운동은 어떻게 할까,재활운동 샘플,무리하지 않는 관절 운동과 통증 기록 방법을 소개합니다.,https://www.youtube.com/results?search_query=관절염+운동+관리,운동
video-back-pain-1,back-pain,허리통증 자세와 경고 신호,재활운동 샘플,허리 통증 기록과 진료가 필요한 신호를 정리합니다.,https://www.youtube.com/results?search_query=허리통증+자세+경고신호,운동
video-neck-disc-1,neck-disc,목디스크와 손저림 체크,척추건강 샘플,목 통증과 팔 저림을 기록하는 방법을 안내합니다.,https://www.youtube.com/results?search_query=목디스크+손저림,증상기록
video-frozen-shoulder-1,frozen-shoulder,오십견 어깨 운동 범위 기록,어깨건강 샘플,어깨 통증과 움직임 제한을 기록하는 mock 영상입니다.,https://www.youtube.com/results?search_query=오십견+어깨통증+운동,운동
video-carpal-tunnel-1,carpal-tunnel,손목터널증후군 손저림 기록,손목건강 샘플,손목 사용 습관과 저림 양상을 정리하는 방법입니다.,https://www.youtube.com/results?search_query=손목터널증후군+손저림,증상기록
video-insomnia-1,insomnia,불면증에 도움이 될 수 있는 수면 위생,수면건강 라디오,기상 시간과 카페인 조절 등 수면 습관을 다룹니다.,https://www.youtube.com/results?search_query=불면증+수면위생,수면
video-anxiety-1,anxiety,불안과 두근거림 기록하기,마음건강 샘플,불안이 커지는 상황과 신체 증상 기록을 안내합니다.,https://www.youtube.com/results?search_query=불안+두근거림+기록,정신건강
video-depressed-mood-1,depressed-mood,우울감과 수면 변화 기록,마음건강 샘플,기분과 수면 변화를 상담 전 정리하는 방법입니다.,https://www.youtube.com/results?search_query=우울감+수면변화+기록,정신건강
video-stress-headache-1,stress-headache,스트레스성 두통과 긴장 완화 습관,두통정보 샘플,긴장성 두통의 유발 상황과 생활습관을 정리합니다.,https://www.youtube.com/results?search_query=스트레스성+두통+긴장성두통,정신건강
video-atopic-dermatitis-1,atopic-dermatitis,아토피 피부염 보습과 기록,피부건강 샘플,가려움과 보습 습관을 기록하는 mock 영상입니다.,https://www.youtube.com/results?search_query=아토피피부염+보습+관리,피부
video-urticaria-1,urticaria,두드러기 발생 상황 기록,알레르기 샘플,두드러기 유발 요인과 응급 신호를 정리합니다.,https://www.youtube.com/results?search_query=두드러기+알레르기+응급,피부
video-acne-1,acne,여드름 생활습관과 피부 자극 줄이기,피부건강 샘플,수면과 화장품 자극을 기록하는 방법입니다.,https://www.youtube.com/results?search_query=여드름+생활습관+피부관리,피부
video-psoriasis-1,psoriasis,건선 각질과 악화 요인 기록,피부건강 샘플,건선 증상과 스트레스 변화를 기록하는 mock 영상입니다.,https://www.youtube.com/results?search_query=건선+악화요인+기록,피부
video-hemorrhoids-1,hemorrhoids,치질 생활관리와 배변 습관,대장항문 건강 샘플,배변 습관과 항문 불편감 기록에 참고할 수 있는 mock 영상입니다.,https://www.youtube.com/results?search_query=치질+생활관리,생활관리
video-hemorrhoids-2,hemorrhoids,변비와 항문질환 예방을 위한 식습관,대장항문 건강 샘플,수분과 식이섬유 섭취를 점검할 때 참고할 수 있는 mock 영상입니다.,https://www.youtube.com/results?search_query=치질+식이요법,식이요법
video-hemorrhoids-3,hemorrhoids,좌욕과 항문 불편감 관리 참고자료,생활관리 샘플,좌욕이 불편감 관리에 도움이 될 수 있는 상황을 안내하는 mock 영상입니다.,https://www.youtube.com/results?search_query=치질+좌욕+항문불편감,생활관리
video-anal-bleeding-1,hemorrhoids,항문 출혈이 있을 때 확인해야 할 점,대장항문외과 샘플,항문 출혈과 진료 상담 기준을 정리한 mock 영상입니다.,https://www.youtube.com/results?search_query=항문출혈+대장항문외과,주의신호
video-diabetes-exercise-1,diabetes,당뇨 운동요법 참고자료,운동건강 샘플,혈당 기록과 함께 참고할 수 있는 걷기와 가벼운 근력운동 검색 링크입니다.,https://www.youtube.com/results?search_query=당뇨+운동요법,exercise
video-hypertension-exercise-1,hypertension,고혈압 운동 강도 조절,운동건강 샘플,고혈압 생활관리에서 무리하지 않는 유산소 운동을 참고하는 mock 영상입니다.,https://www.youtube.com/results?search_query=고혈압+운동,exercise
video-back-pain-exercise-2,back-pain,허리 안정화 운동 참고자료,재활운동 샘플,허리통증 기록과 함께 볼 수 있는 안정화 운동 검색 링크입니다.,https://www.youtube.com/results?search_query=허리통증+운동,exercise
video-insomnia-exercise-1,insomnia,불면증 수면 전 스트레칭,수면건강 샘플,수면 전 긴장완화 스트레칭을 참고할 수 있는 mock 영상입니다.,https://www.youtube.com/results?search_query=불면증+스트레칭,exercise
video-gastritis-diet-1,gastritis,위염 식이요법 참고자료,식습관 샘플,속쓰림이 있을 때 자극 적은 식사를 참고하는 검색 링크입니다.,https://www.youtube.com/results?search_query=위염+식이요법,diet
video-reflux-diet-1,reflux,역류성 식도염 식습관 참고자료,식습관 샘플,야식 과식 카페인 등 식습관을 점검하는 mock 영상입니다.,https://www.youtube.com/results?search_query=역류성식도염+식이요법,diet
video-hemorrhoids-diet-1,hemorrhoids,치질 변비관리 식습관,대장항문 건강 샘플,수분과 식이섬유 섭취를 참고할 수 있는 검색 링크입니다.,https://www.youtube.com/results?search_query=치질+식이요법,diet
video-cough-lifestyle-1,chronic-cough,기침 생활관리 참고자료,호흡기 샘플,기침 지속 기간과 생활환경을 기록하는 mock 영상입니다.,https://www.youtube.com/results?search_query=기침+생활관리,lifestyle
